Courant d'alimentation (mA);Courant photodiode interne (mA);Puissance émise(W);Tension photodiode interne (V)
43.1;0.145;2.008e-3;2.144
48.1;0.274;3.977e-3;2.164
50.7;0.345;5.008e-3;2.174
50.0;0.325;4.733e-3;2.172
48.5;0.285;4.160e-3;2.166
45.7;0.215;3.062e-3;2.155
40.0;0.0066;938.7e-6;2.132
38.0;0.013;223.1e-6;2.124
35.0;0.003;38.8e-6;2.11
30.0;0.002;21.49e-6;2.087
28.2;0.002;18.32e-6;2.078
23.4;0.001;12.15e-6;2.053
20.0;0.001;9.46e-6;2.035
